'21:49:10', 0.25, -0.25, 7.50, 0.06, -0.08, 2.72, 0, 0, 0, 0.11, -53.47'
'21:49:10', 0.25, -0.25, 7.50, 0.13, -0.17, 6.65, 0, 0, 0, 0.21, -53.47'
'21:49:11', 0.25, -0.25, 7.50, 0.13, -0.17, 5.14, 0, 0, 0, 0.21, -51.60'
'21:49:11', 0.25, -0.25, 7.50, 0.15, -0.18, 5.44, 0, 0, 0, 0.23, -48.81'
'21:49:12', 0.25, -0.25, 7.50, 0.17, -0.18, 4.38, 0, 0, 0, 0.25, -46.51'
'21:49:12', 0.25, -0.25, 7.50, 0.17, -0.21, 7.11, 0, 0, 0, 0.27, -50.24'
'21:49:13', 0.25, -0.25, 7.50, 0.20, -0.20, 7.86, 0, 0, 0, 0.28, -45.00'
'21:49:13', 0.25, -0.25, 7.50, 0.20, -0.20, 7.86, 0, 0, 0, 0.28, -45.00'
'21:49:14', 0.25, -0.25, 7.50, 0.22, -0.20, 6.95, 0, 0, 0, 0.30, -42.44'
'21:49:14', 0.25, -0.25, 7.50, 0.22, -0.22, 7.26, 0, 0, 0, 0.31, -45.41'
'21:49:15', 0.25, -0.25, 7.50, 0.22, -0.21, 7.11, 0, 0, 0, 0.31, -44.18'
'21:49:15', 0.25, -0.25, 7.50, 0.23, -0.22, 8.77, 0, 0, 0, 0.32, -44.60'
'21:49:16', 0.25, -0.25, 7.50, 0.22, -0.23, 7.11, 0, 0, 0, 0.32, -45.80'
'21:49:16', 0.25, -0.25, 7.50, 0.25, -0.21, 5.90, 0, 0, 0, 0.32, -39.84'
'21:49:17', 0.25, -0.25, 7.50, 0.24, -0.21, 6.50, 0, 0, 0, 0.32, -41.42'
'21:49:17', 0.25, -0.25, 7.50, 0.23, -0.23, 8.62, 0, 0, 0, 0.33, -45.39'
'21:49:18', 0.25, -0.25, 7.50, 0.23, -0.24, 7.26, 0, 0, 0, 0.33, -46.55'
'21:49:18', 0.25, -0.25, 7.50, 0.24, -0.24, 8.01, 0, 0, 0, 0.34, -44.62'
'21:49:19', 0.25, -0.25, 7.50, 0.23, -0.24, 7.41, 0, 0, 0, 0.33, -46.52'
'21:49:19', 0.25, -0.25, 7.50, 0.23, -0.24, 7.11, 0, 0, 0, 0.33, -45.38'
'21:49:20', 0.25, -0.25, 7.50, 0.23, -0.25, 6.95, 0, 0, 0, 0.34, -46.87'
'21:49:20', 0.25, -0.25, 7.50, 0.24, -0.24, 7.86, 0, 0, 0, 0.34, -44.63'
'21:49:21', 0.25, -0.25, 7.50, 0.24, -0.24, 7.86, 0, 0, 0, 0.34, -45.00'
'21:49:21', 0.25, -0.25, 7.50, 0.24, -0.24, 8.16, 0, 0, 0, 0.34, -44.63'
'21:49:22', 0.25, -0.25, 7.50, 0.24, -0.25, 6.80, 0, 0, 0, 0.35, -45.73'
'21:49:22', 0.25, -0.25, 7.50, 0.24, -0.24, 7.26, 0, 0, 0, 0.34, -44.63'
'21:49:23', 0.25, -0.25, 7.50, 0.24, -0.23, 7.71, 0, 0, 0, 0.33, -44.62'
'21:49:23', 0.25, -0.25, 7.50, 0.24, -0.24, 7.56, 0, 0, 0, 0.34, -44.63'
'21:49:24', 0.25, -0.25, 7.50, 0.25, -0.25, 8.01, 0, 0, 0, 0.35, -45.00'
'21:49:24', 0.25, -0.25, 7.50, 0.25, -0.25, 7.56, 0, 0, 0, 0.35, -45.00'
'21:49:25', 0.25, -0.25, 7.50, 0.25, -0.25, 7.41, 0, 0, 0, 0.35, -45.00'
'21:49:25', 0.25, -0.25, 7.50, 0.25, -0.25, 7.11, 0, 0, 0, 0.35, -45.00'
'21:49:26', 0.25, -0.25, 7.50, 0.25, -0.24, 7.26, 0, 0, 0, 0.35, -43.91'
'21:49:26', 0.25, -0.25, 7.50, 0.24, -0.25, 7.86, 0, 0, 0, 0.35, -45.36'
'21:49:27', 0.25, -0.25, 7.50, 0.25, -0.25, 7.11, 0, 0, 0, 0.35, -45.00'
'21:49:27', 0.25, -0.25, 7.50, 0.24, -0.25, 7.41, 0, 0, 0, 0.35, -45.73'
'21:49:28', 0.25, -0.25, 7.50, 0.24, -0.25, 6.65, 0, 0, 0, 0.35, -45.36'
'21:49:28', 0.25, -0.25, 7.50, 0.25, -0.25, 8.01, 0, 0, 0, 0.35, -45.00'
'21:49:29', 0.25, -0.25, 7.50, 0.24, -0.24, 7.86, 0, 0, 0, 0.35, -45.00'
'21:49:29', 0.25, -0.25, 7.50, 0.25, -0.25, 7.26, 0, 0, 0, 0.35, -45.00'
'21:49:30', 0.25, -0.25, 7.50, 0.25, -0.24, 7.71, 0, 0, 0, 0.35, -44.63'
