'21:40:34', 0.00, -0.25, 0.00, 0.00, -0.07, 0.15, 0, 0, 0, 0.07, -88.78'
'21:40:34', 0.00, -0.25, 0.00, 0.00, -0.14, 0.76, 0, 0, 0, 0.14, -89.36'
'21:40:35', 0.00, -0.25, 0.00, 0.00, -0.15, 0.30, 0, 0, 0, 0.15, -90.00'
'21:40:35', 0.00, -0.25, 0.00, -0.00, -0.17, 0.00, 0, 0, 0, 0.17, -90.00'
'21:40:36', 0.00, -0.25, 0.00, 0.00, -0.18, 0.15, 0, 0, 0, 0.18, -89.51'
'21:40:36', 0.00, -0.25, 0.00, -0.00, -0.19, 0.30, 0, 0, 0, 0.19, -89.06'
'21:40:37', 0.00, -0.25, 0.00, 0.01, -0.20, 0.30, 0, 0, 0, 0.20, -88.18'
'21:40:37', 0.00, -0.25, 0.00, -0.00, -0.20, 0.15, 0, 0, 0, 0.20, -89.55'
'21:40:38', 0.00, -0.25, 0.00, 0.00, -0.22, 0.45, 0, 0, 0, 0.22, -89.59'
'21:40:38', 0.00, -0.25, 0.00, -0.01, -0.22, -0.15, 0, 0, 0, 0.22, -88.00'
'21:40:39', 0.00, -0.25, 0.00, 0.00, -0.22, -0.15, 0, 0, 0, 0.22, -89.60'
'21:40:39', 0.00, -0.25, 0.00, -0.00, -0.23, -0.30, 0, 0, 0, 0.23, -89.22'
'21:40:40', 0.00, -0.25, 0.00, 0.00, -0.23, 0.45, 0, 0, 0, 0.23, -89.62'
'21:40:40', 0.00, -0.25, 0.00, 0.00, -0.24, 0.60, 0, 0, 0, 0.24, -90.00'
'21:40:41', 0.00, -0.25, 0.00, -0.00, -0.24, -0.60, 0, 0, 0, 0.24, -89.24'
'21:40:41', 0.00, -0.25, 0.00, -0.01, -0.24, 0.00, 0, 0, 0, 0.24, -88.47'
'21:40:42', 0.00, -0.25, 0.00, 0.00, -0.24, 0.45, 0, 0, 0, 0.24, -88.86'
'21:40:42', 0.00, -0.25, 0.00, 0.00, -0.24, 0.30, 0, 0, 0, 0.24, -89.27'
'21:40:43', 0.00, -0.25, 0.00, 0.00, -0.25, -0.91, 0, 0, 0, 0.25, -90.00'
'21:40:43', 0.00, -0.25, 0.00, 0.00, -0.24, -0.15, 0, 0, 0, 0.24, -88.88'
'21:40:44', 0.00, -0.25, 0.00, -0.00, -0.24, 0.30, 0, 0, 0, 0.24, -89.26'
'21:40:44', 0.00, -0.25, 0.00, -0.00, -0.24, -0.00, 0, 0, 0, 0.24, -89.27'
'21:40:45', 0.00, -0.25, 0.00, 0.00, -0.24, -0.45, 0, 0, 0, 0.24, -89.63'
'21:40:45', 0.00, -0.25, 0.00, 0.01, -0.25, 0.30, 0, 0, 0, 0.25, -88.57'
'21:40:46', 0.00, -0.25, 0.00, 0.00, -0.24, 0.15, 0, 0, 0, 0.24, -89.63'
'21:40:46', 0.00, -0.25, 0.00, 0.00, -0.25, 0.00, 0, 0, 0, 0.25, -89.28'
'21:40:47', 0.00, -0.25, 0.00, -0.01, -0.24, 0.30, 0, 0, 0, 0.24, -88.53'
'21:40:47', 0.00, -0.25, 0.00, 0.00, -0.24, 0.00, 0, 0, 0, 0.24, -89.27'
'21:40:48', 0.00, -0.25, 0.00, -0.00, -0.24, -0.30, 0, 0, 0, 0.24, -89.27'
'21:40:48', 0.00, -0.25, 0.00, 0.00, -0.25, -0.15, 0, 0, 0, 0.25, -88.91'
'21:40:49', 0.00, -0.25, 0.00, -0.00, -0.24, 0.76, 0, 0, 0, 0.24, -88.89'
'21:40:49', 0.00, -0.25, 0.00, 0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
'21:40:50', 0.00, -0.25, 0.00, -0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.29'
'21:40:50', 0.00, -0.25, 0.00, 0.00, -0.24, -0.00, 0, 0, 0, 0.24, -90.00'
'21:40:51', 0.00, -0.25, 0.00, -0.00, -0.26, -0.15, 0, 0, 0, 0.26, -88.96'
'21:40:51', 0.00, -0.25, 0.00, 0.00, -0.24, -0.76, 0, 0, 0, 0.24, -89.63'
'21:40:52', 0.00, -0.25, 0.00, -0.00, -0.25, 0.30, 0, 0, 0, 0.25, -89.29'
'21:40:52', 0.00, -0.25, 0.00, -0.00, -0.25, 0.76, 0, 0, 0, 0.25, -89.64'
'21:40:53', 0.00, -0.25, 0.00, 0.00, -0.25, -0.60, 0, 0, 0, 0.25, -90.00'
'21:40:53', 0.00, -0.25, 0.00, -0.00, -0.24, 0.00, 0, 0, 0, 0.24, -89.27'
'21:40:54', 0.00, -0.25, 0.00, 0.00, -0.26, 0.76, 0, 0, 0, 0.26, -89.65'
'21:40:54', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -90.00'
'21:40:55', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.29'
'21:40:55', 0.00, -0.25, 0.00, 0.00, -0.26, -0.15, 0, 0, 0, 0.26, -89.65'
'21:40:56', 0.00, -0.25, 0.00, 0.00, -0.24, 0.15, 0, 0, 0, 0.24, -88.89'
'21:40:56', 0.00, -0.25, 0.00, 0.00, -0.25, 0.15, 0, 0, 0, 0.25, -88.92'
'21:40:57', 0.00, -0.25, 0.00, 0.00, -0.26, 0.15, 0, 0, 0, 0.26, -89.65'
'21:40:57', 0.00, -0.25, 0.00, 0.00, -0.25, 0.30, 0, 0, 0, 0.25, -90.00'
'21:40:58', 0.00, -0.25, 0.00, 0.00, -0.24, 0.00, 0, 0, 0, 0.24, -90.00'
'21:40:58', 0.00, -0.25, 0.00, -0.00, -0.25, -0.15, 0, 0, 0, 0.25, -89.64'
'21:40:59', 0.00, -0.25, 0.00, -0.01, -0.25, -0.30, 0, 0, 0, 0.25, -88.59'
'21:40:59', 0.00, -0.25, 0.00, 0.00, -0.25, -0.15, 0, 0, 0, 0.25, -89.64'
'21:41:00', 0.00, -0.25, 0.00, -0.00, -0.25, -0.91, 0, 0, 0, 0.25, -89.29'
'21:41:00', 0.00, -0.25, 0.00, 0.01, -0.25, 1.21, 0, 0, 0, 0.25, -87.88'
'21:41:01', 0.00, -0.25, 0.00, 0.00, -0.24, 0.00, 0, 0, 0, 0.24, -90.00'
'21:41:01', 0.00, -0.25, 0.00, 0.00, -0.25, -0.60, 0, 0, 0, 0.25, -89.28'
'21:41:02', 0.00, -0.25, 0.00, 0.00, -0.25, 0.30, 0, 0, 0, 0.25, -89.28'
'21:41:02', 0.00, -0.25, 0.00, -0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
'21:41:03', 0.00, -0.25, 0.00, -0.01, -0.25, 0.60, 0, 0, 0, 0.25, -88.57'
'21:41:03', 0.00, -0.25, 0.00, -0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.29'
'21:41:04', 0.00, -0.25, 0.00, 0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:04', 0.00, -0.25, 0.00, 0.00, -0.25, 0.76, 0, 0, 0, 0.25, -89.64'
'21:41:05', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.27'
'21:41:05', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.27'
'21:41:06', 0.00, -0.25, 0.00, -0.00, -0.25, -0.00, 0, 0, 0, 0.25, -89.28'
'21:41:06', 0.00, -0.25, 0.00, -0.00, -0.25, 0.91, 0, 0, 0, 0.25, -89.28'
'21:41:07', 0.00, -0.25, 0.00, -0.00, -0.25, -0.45, 0, 0, 0, 0.25, -88.91'
'21:41:07', 0.00, -0.25, 0.00, 0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:08', 0.00, -0.25, 0.00, 0.01, -0.25, 0.00, 0, 0, 0, 0.25, -88.59'
'21:41:08', 0.00, -0.25, 0.00, -0.00, -0.25, 0.15, 0, 0, 0, 0.25, -88.93'
'21:41:09', 0.00, -0.25, 0.00, 0.00, -0.25, 0.45, 0, 0, 0, 0.25, -88.93'
'21:41:09', 0.00, -0.25, 0.00, -0.01, -0.25, 0.30, 0, 0, 0, 0.25, -88.55'
'21:41:10', 0.00, -0.25, 0.00, 0.00, -0.26, -0.15, 0, 0, 0, 0.26, -88.95'
'21:41:10', 0.00, -0.25, 0.00, 0.00, -0.25, -0.60, 0, 0, 0, 0.25, -90.00'
'21:41:11', 0.00, -0.25, 0.00, 0.00, -0.25, 0.45, 0, 0, 0, 0.25, -89.64'
'21:41:11', 0.00, -0.25, 0.00, -0.00, -0.25, -0.60, 0, 0, 0, 0.25, -90.00'
'21:41:12', 0.00, -0.25, 0.00, -0.00, -0.25, -0.30, 0, 0, 0, 0.25, -90.00'
'21:41:12', 0.00, -0.25, 0.00, 0.00, -0.25, 0.15, 0, 0, 0, 0.25, -88.92'
'21:41:13', 0.00, -0.25, 0.00, -0.01, -0.25, 0.45, 0, 0, 0, 0.25, -88.20'
'21:41:13', 0.00, -0.25, 0.00, 0.01, -0.25, -0.76, 0, 0, 0, 0.25, -88.20'
'21:41:14', 0.00, -0.25, 0.00, 0.00, -0.25, 0.60, 0, 0, 0, 0.25, -89.27'
'21:41:14', 0.00, -0.25, 0.00, -0.00, -0.26, -0.15, 0, 0, 0, 0.26, -89.65'
'21:41:15', 0.00, -0.25, 0.00, -0.00, -0.26, -0.45, 0, 0, 0, 0.26, -88.95'
'21:41:15', 0.00, -0.25, 0.00, 0.01, -0.25, 0.45, 0, 0, 0, 0.25, -88.22'
'21:41:16', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -90.00'
'21:41:16', 0.00, -0.25, 0.00, -0.00, -0.25, -0.00, 0, 0, 0, 0.25, -90.00'
'21:41:17', 0.00, -0.25, 0.00, -0.01, -0.24, -0.45, 0, 0, 0, 0.24, -88.15'
'21:41:17', 0.00, -0.25, 0.00, 0.00, -0.25, -0.00, 0, 0, 0, 0.25, -89.28'
'21:41:18', 0.00, -0.25, 0.00, -0.00, -0.25, -0.00, 0, 0, 0, 0.25, -90.00'
'21:41:18', 0.00, -0.25, 0.00, 0.00, -0.25, -0.45, 0, 0, 0, 0.25, -88.92'
'21:41:19', 0.00, -0.25, 0.00, -0.00, -0.25, -0.15, 0, 0, 0, 0.25, -89.64'
'21:41:19', 0.00, -0.25, 0.00, -0.00, -0.25, 0.30, 0, 0, 0, 0.25, -89.28'
'21:41:20', 0.00, -0.25, 0.00, -0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:20', 0.00, -0.25, 0.00, -0.00, -0.25, 0.30, 0, 0, 0, 0.25, -89.28'
'21:41:21', 0.00, -0.25, 0.00, -0.01, -0.25, 0.60, 0, 0, 0, 0.25, -88.59'
'21:41:21', 0.00, -0.25, 0.00, 0.00, -0.25, -0.15, 0, 0, 0, 0.25, -89.64'
'21:41:22', 0.00, -0.25, 0.00, -0.00, -0.25, -0.60, 0, 0, 0, 0.25, -89.27'
'21:41:22', 0.00, -0.25, 0.00, 0.01, -0.25, 0.45, 0, 0, 0, 0.25, -88.18'
'21:41:23', 0.00, -0.25, 0.00, 0.00, -0.25, 0.30, 0, 0, 0, 0.25, -90.00'
'21:41:23', 0.00, -0.25, 0.00, 0.00, -0.25, -0.30, 0, 0, 0, 0.25, -90.00'
'21:41:24', 0.00, -0.25, 0.00, -0.00, -0.25, -0.30, 0, 0, 0, 0.25, -89.28'
'21:41:24', 0.00, -0.25, 0.00, -0.00, -0.25, 1.36, 0, 0, 0, 0.25, -89.64'
'21:41:25', 0.00, -0.25, 0.00, -0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:25', 0.00, -0.25, 0.00, 0.01, -0.25, -0.30, 0, 0, 0, 0.25, -88.57'
'21:41:26', 0.00, -0.25, 0.00, -0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
'21:41:26', 0.00, -0.25, 0.00, 0.00, -0.26, 0.60, 0, 0, 0, 0.26, -90.00'
'21:41:27', 0.00, -0.25, 0.00, 0.00, -0.25, 0.15, 0, 0, 0, 0.25, -88.91'
'21:41:27', 0.00, -0.25, 0.00, 0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:28', 0.00, -0.25, 0.00, -0.00, -0.25, 0.00, 0, 0, 0, 0.25, -89.28'
'21:41:28', 0.00, -0.25, 0.00, 0.00, -0.25, -0.45, 0, 0, 0, 0.25, -89.64'
'21:41:29', 0.00, -0.25, 0.00, -0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
'21:41:29', 0.00, -0.25, 0.00, -0.00, -0.25, 0.91, 0, 0, 0, 0.25, -89.29'
'21:41:30', 0.00, -0.25, 0.00, 0.01, -0.25, -1.36, 0, 0, 0, 0.25, -87.45'
'21:41:30', 0.00, -0.25, 0.00, -0.01, -0.25, 0.30, 0, 0, 0, 0.25, -88.55'
'21:41:31', 0.00, -0.25, 0.00, 0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
'21:41:31', 0.00, -0.25, 0.00, -0.00, -0.25, 0.15, 0, 0, 0, 0.25, -89.64'
