'21:43:37', 0.00, -0.25, 7.50, -0.00, -0.06, 6.05, 0, 0, 0, 0.06, -87.14'
'21:43:38', 0.00, -0.25, 7.50, 0.01, -0.13, 10.43, 0, 0, 0, 0.13, -83.96'
'21:43:38', 0.00, -0.25, 7.50, 0.02, -0.14, 6.80, 0, 0, 0, 0.14, -81.50'
'21:43:39', 0.00, -0.25, 7.50, -0.01, -0.17, 4.23, 0, 0, 0, 0.17, -86.88'
'21:43:39', 0.00, -0.25, 7.50, 0.00, -0.19, 6.50, 0, 0, 0, 0.19, -89.53'
'21:43:40', 0.00, -0.25, 7.50, -0.00, -0.20, 7.41, 0, 0, 0, 0.20, -89.54'
'21:43:40', 0.00, -0.25, 7.50, -0.00, -0.21, 7.11, 0, 0, 0, 0.21, -89.56'
'21:43:41', 0.00, -0.25, 7.50, -0.00, -0.21, 6.50, 0, 0, 0, 0.21, -89.57'
'21:43:41', 0.00, -0.25, 7.50, 0.00, -0.22, 6.65, 0, 0, 0, 0.22, -90.00'
'21:43:42', 0.00, -0.25, 7.50, -0.00, -0.22, 7.41, 0, 0, 0, 0.22, -89.60'
'21:43:42', 0.00, -0.25, 7.50, -0.00, -0.22, 7.56, 0, 0, 0, 0.22, -89.19'
'21:43:43', 0.00, -0.25, 7.50, 0.00, -0.23, 7.11, 0, 0, 0, 0.23, -89.62'
'21:43:43', 0.00, -0.25, 7.50, -0.00, -0.23, 7.26, 0, 0, 0, 0.23, -89.22'
'21:43:44', 0.00, -0.25, 7.50, -0.00, -0.23, 7.71, 0, 0, 0, 0.23, -88.85'
'21:43:44', 0.00, -0.25, 7.50, 0.00, -0.24, 7.26, 0, 0, 0, 0.24, -89.25'
'21:43:45', 0.00, -0.25, 7.50, -0.00, -0.24, 7.41, 0, 0, 0, 0.24, -89.62'
'21:43:45', 0.00, -0.25, 7.50, 0.00, -0.23, 7.71, 0, 0, 0, 0.23, -89.62'
'21:43:46', 0.00, -0.25, 7.50, 0.00, -0.24, 7.86, 0, 0, 0, 0.24, -90.00'
'21:43:46', 0.00, -0.25, 7.50, -0.00, -0.24, 6.80, 0, 0, 0, 0.24, -89.63'
'21:43:47', 0.00, -0.25, 7.50, 0.00, -0.24, 7.26, 0, 0, 0, 0.24, -90.00'
'21:43:47', 0.00, -0.25, 7.50, -0.00, -0.24, 8.01, 0, 0, 0, 0.24, -88.89'
'21:43:48', 0.00, -0.25, 7.50, -0.00, -0.24, 7.26, 0, 0, 0, 0.24, -89.27'
'21:43:48', 0.00, -0.25, 7.50, 0.00, -0.25, 7.41, 0, 0, 0, 0.25, -88.91'
'21:43:49', 0.00, -0.25, 7.50, 0.00, -0.25, 7.71, 0, 0, 0, 0.25, -89.64'
'21:43:49', 0.00, -0.25, 7.50, 0.00, -0.25, 7.41, 0, 0, 0, 0.25, -88.92'
